node   1  (   0,    0) (   6,    3) (  11,    4) (  11,    5) (   9,    7) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9)
          (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9)
          (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9)
          (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9)
          (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9) (   9,    9)
          (   9,    9) (   8,    9) (   9,    9) (   8,    7) (   9,    8) (   9,    8) (   9,    8) (   7,    8) (   8,    9) (   9,    8)
          (   9,    8) (   9,    8) (   9,    8) (   8,    8) (   6,    8) (   9,    8) (   6,    8) (   9,    9) (   8,    6) (   9,    8)
          (   8,    9) (   9,    7) (   9,    9) (   7,    9) (   6,    9) (   9,    7) (   8,    9) (   8,    7) (   7,    7) (   8,    7)
          (   8,    7) (   8,    9) (   9,    9) (   8,    6) (   7,    6) (   8,    7) (   9,    8) (   9,    9) (   8,    8) (   9,    8)
          (   8,    8) (   8,    9) (   7,    7) (   7,    9) (   8,    9) (   8,    9) (   7,    8) (   8,    9) (   8,    7) (   8,    8)
          (   7,    8) (   9,    9) (   9,    8) (   8,    8) (   8,    7) (   7,    6) (   9,    6) (   9,    8) (   9,    7) (   8,    8)
          (   8,    7) (   9,    7) (   9,    8) (   8,    8) (   9,    6) (   7,    6) (   9,    8) (   7,    8) (   7,    8) (   8,    8)
          (   9,    8) (   8,    8) (   8,    7) (   8,    7) (   7,    8) (   8,    8) (   7,    7) (   6,    8) (   7,    8) (   8,    7)
          (   7,    8) (   6,    6) (   7,    8) (   8,    8) (   7,    7) (   5,    8) (   8,    7) (   8,    8) (   8,    7) (   8,    6)
          (   8,    5) (   7,    8) (   7,    8) (   7,    8) (   8,    8) (   7,    7) (   7,    8) (   7,    5) (   7,    7) (   8,    7)
